comment,like_count,final_text,sentiment
"Aah masyaa,, pak",0,"Aah masyaallah, pak",positif
01 03 ngaur haus kekusaan,0,01 dan 03 saling menuduh korupsi.,negatif
ALHAMDULILLAH SY COBLOS PRABOWO..SEMOGA AMANAH,0,"Alhamdulillah saya coblos Prabowo, semoga amanah.",positif
Bapak prabowo conta damai ramahh sesama...,1,Bapak Prabowo sangat damai dan ramah sesama.,positif
Bapak prabiowo cinta takyat sayang rakyat...,1,Bapak Prabowo sangat mencintai dan peduli pada rakyat...,positif
"Selamat Buat Pak Prabowo Gibran semoga sehat dan sukses selalu,Amin",0,"Selamat buat Pak Prabowo Gibran, semoga sehat dan sukses selalu, Amin.",positif
"Masyarakat Indonesian, Ber-Harap Agar DAMAI AMANAH mengemban tugas NEGARA Ya ALLAH AMIN 3 YRA",0,"Masyarakat Indonesia, Berharap agar DAMAI AMANAH mengemban tugas negara Ya Allah amin 3 YRA",positif
"Masyaallah semoga*ndohesia, Tetap, Tenteram damai sejahtera ATAS IZIN ALLAH SWT AMIN 3 YRA",0,"Semoga Indonesia tetap tenteram damai sejahtera atas izin Allah SWT, amin. Pasangan calon nomor urut 3 YRA.",netral
Is he a Muslim?,0,Is he a Muslim?,netral
"Semoga pak Prabowo menjadi pen minpin yg adil, mari kita bersama sama mendukung penuh, dan mendoa kan beliau rukun dan sehat sehat bersama keluarga, untuk rakyat dan negeri ini,",0,"Semoga pak Prabowo menjadi pemimpin yang adil, mari kita bersama-sama mendukung penuh, dan mendoakan beliau rukun dan sehat bersama keluarga, untuk rakyat dan negeri ini.",positif
Selamat pak prabowo jd RI 1 2024_2029.,1,Selamat Pak Prabowo menjadi Presiden RI periode 2024-2029.,positif
Sama2 pak,0,Sama-sama pak,netral
Semoga sukses selalu pak prabowo  semoga maju negara yang paling  .makmor rakyatnya,0,"Semoga sukses selalu Pak Prabowo, semoga maju negara yang paling makmur rakyatnya.",positif
Mantap pak Prabowo Subianto,0,Mantap pak Prabowo Subianto,positif
"01,02,03,semua sudah berjuang,yg jadi 02, hasi curang/ tidak.tapi itu nyatanya,kita terima,kita dukung,kita doakn,semoga membawa NKRI lebih kuat,lebih maju,lebih mamur,dan amanah.amiin",0,"01, 02, 03, semua sudah berjuang, yang jadi 02, hasil curang/tidak. Tapi itu nyatanya, kita terima, kita dukung, kita doakan, semoga membawa NKRI lebih kuat, lebih maju, lebih aman, dan amanah. Amin.",positif
"Berpes
Ta poralah atas  kemenangan yg palsu !kau akan pertanggung jawaban  nantik di mana tipu daya tidak berguna lagi yaitu pengadilan YG MAHA AGUNG ALLAH SWT",0,"Berpes
Tak perlu berbangga atas kemenangan yang palsu, kau akan bertanggung jawab nanti di mana tipu daya tidak berguna lagi, yaitu pengadilan yang Maha Agung, Allah SWT.",negatif
Senangnya aku lihat pak bowo..ikut bahagia lihatnya,0,"Senangnya aku melihat Pak Prabowo, ikut bahagia melihatnya.",positif
Bang ara kemana ya,0,Bang ara kemana ya,netral
"Selamat kepada pak Anis, kini sedang menangis setelah janji janji manisnya gagal di sengketa KPU.",0,"Selamat kepada Pak Anis, kini sedang menangis setelah janji-janji manisnya gagal di sengketa KPU.",negatif
"Prof Yusril mantap, tampil lbh muda asoy",0,"Prof Yusril mantap, tampil lebih muda asoy",negatif
Barokalloh Bapak ...sehat sekalu panjang umur Amiin amiin amiin,0,"Barokalloh Bapak, semoga sehat selalu dan panjang umur. Amin.",positif
Alam memberi tanda awal penguasa,0,Alam memberi tanda awal penguasa,netral
Ga lama jg bakal dilengserij sm keluarga...,0,Ga lama juga bakal dilengserkan dengan keluarga...,negatif
MANDAT RAKYAT KARNA BANSOS..,0,Mandat rakyat karena bansos.,negatif
Mantap Pak Prabowo cukup ratusan tahun bangsa Indonesia ditindas saatnya pribumi diatas martbat bangsa besar Nusantara..NKRI jaya,0,Mantap Pak Prabowo cukup ratusan tahun bangsa Indonesia ditindas saatnya pribumi di atas martabat bangsa besar Nusantara.. NKRI jaya,positif
Partai aj ngk punya....kok oposisi,0,"Partai tidak punya, kok oposisi",negatif
SELAMAT PAK PRABOWO dan MAS GIBRAN... Alhamdulillah saya coblos sampean2 pada 14 February kemarin... Salam dari SoLo yg berdomisili di Kalimantan Selatan...,4,Selamat Pak Prabowo dan Mas Gibran. Alhamdulillah saya coblos kalian pada 14 Februari kemarin. Salam dari Solo yang berdomisili di Kalimantan Selatan.,positif
Terharu,0,Terharu,positif
"KAMI SEMAKIN CINTA PBOWO GIBRAN, PBOWO TELAH SADAR BHW NEGARA TIDAK BOLEH JADI TUMBAL KEMISKINAN OLEH BANGSA EROPA DAN AS LAGI. TERHARU DAN BAHAGIA PBOWO SANGAT BERANI MELAWAN KEJAHATAN BANGSA EROPA DAN AS. KAMI BANGGA MAKAN SIANG UTK GIZI BAGI BAYI DAN ANAK2 SEKOLAH DAN HILIRISASI BAKAL MEMAKMURKAN BAGI SELURUH WARGA INDONESIA2034 INDONESIA EMAS YAKIN TERWUJUDHARAPAN KAMI PBOWO MAMPU HANCURKAN PENJAHAT2 KORUPTOR, TOKOH NARKOBA, DAN MAFIA TANAHMAKANAN BERGIZI BAGI BAYI2 MISKIN PENDERITAAN PANJANG...",0,"Kami semakin cinta Prabowo Gibran, Prabowo telah sadar bahwa negara tidak boleh jadi tumbal kemiskinan oleh bangsa Eropa dan AS lagi. Terharu dan bahagia Prabowo sangat berani melawan kejahatan bangsa Eropa dan AS. Kami bangga makan siang untuk gizi bagi bayi dan anak-anak sekolah dan hilirisasi bakal memakmurkan bagi seluruh w",positif
"nama beliau tercantum untuk memimpin negara kesatuan republik indonesia,semoga untuk yang akan datang,bapak Kunto yang akan datang untuk memimpin negara kesatuan republik indonesia.",0,"Nama beliau tercantum untuk memimpin negara Kesatuan Republik Indonesia, semoga untuk yang akan datang, Bapak Kunto yang akan datang untuk memimpin negara Kesatuan Republik Indonesia.",negatif
"Menang suara bukan berarti ditetapkan jadi pemenang..
Masih ada gugatan dan bisa jdi diskualifikasi",0,Menang suara bukan berarti ditetapkan jadi pemenang. Masih ada gugatan dan bisa jadi diskualifikasi.,netral
Alhamdulillah selamat. Untuk pa prabowo  Gibran dan. Kualisi. Indonesia. Maju sukses dan sehat selalu,0,"Alhamdulillah selamat. Untuk Pak Prabowo, Gibran, dan Koalisi Indonesia. Semoga maju, sukses, dan sehat selalu.",positif
Smoga PK Prabowo dan mas Gibran slalu mendapatkan perlindungan n Ridho Alloh SWT aamiin,0,"Semoga PK Prabowo dan Mas Gibran selalu mendapatkan perlindungan dan ridho Allah SWT, amin.",positif
Mashaalloh,0,Masha Allah,positif
"Pak prabowo kenapa tidak menyalami tangan pak fahri hamza? pak fahri terlihat sedih,menunduk dan menutup tangannya. Mohon di maafkan  ya pak fahri. Pak prabowo mungkin lelah dan tidak  melihat sekilas dan terburu buru dan banyak orang juga. Saya. Percaya di hatinya pak prabowo ada nama pak fahri",1,"Pak Prabowo kenapa tidak menyalami tangan Pak Fahri Hamza? Pak Fahri terlihat sedih, menunduk, dan menutup tangannya. Mohon dimaafkan ya Pak Fahri. Pak Prabowo mungkin lelah dan tidak melihat sekilas, terburu-buru, dan banyak orang juga. Saya percaya di hatinya Pak Prabowo ada nama Pak Fahri.",negatif
"Sehat selalu mas kaesang,,,masyaallah",0,"Sehat selalu Mas Kaesang, masya Allah",positif
"Selamat kepada pak prabowo.
Dulu bpk pernah bilang uang negara kita byk bocor dan lari ke luar 

Dengan bpk terpilih insaallah jadi preiden
Rakyat menunggu
Janji2 mu",0,"Selamat kepada pak Prabowo. Dulu beliau pernah mengatakan uang negara kita banyak bocor dan lari ke luar. Dengan beliau terpilih, semoga menjadi presiden. Rakyat menunggu janji-janji beliau.",positif
Dari sini kita blajar banyak dari gibran,0,Dari sini kita belajar banyak dari Gibran,netral
Prabowo Subianto RI 1  Ke-8,1,Prabowo Subianto RI 01 Ke-8,netral
"Harusnya Pak Anies yg menang, klu tak dicurangi..",0,"Harusnya Pak Anies yang menang, kalau tidak dicurangi.",negatif
Hoax,0,Hoax,negatif
Alhamdulillahi Robbil Alaminnnn,0,Alhamdulillah Robbil Alamin,positif
"ngimpiiiii... 
mandat rakyat siapa, yg mau kasih mandaaaat..... ???
debat aja ga berkualitas ko ngomong mandat dari rakyat....
ingaaaaaaat....... pelanggar hukum.... nepotisme......apa di sebut mandat d\ri rakyat...!!!",0,"ngimpi
mandat rakyat siapa, yang mau memberikan mandat?
debat saja tidak berkualitas kalau membicarakan mandat dari rakyat.
ingat pelanggar hukum, nepotisme, apakah itu disebut mandat dari rakyat?",negatif
Selamat ya pak. Menjadi pemimpin di negeri ya besar ini pak. Saya harap bapak dapat membawa Indonesia ke arah yang lebih baik. Dan saya ingatkan jangan korupsi uang rakyat ya pak. Karena bahwasannya ALLAH SWT maha melihat pak. Dan 1 biji sawi pun akan di perhitungkan di akhirat kelak pak.,0,Selamat ya pak. Menjadi pemimpin di negeri yang besar ini pak. Saya harap Bapak dapat membawa Indonesia ke arah yang lebih baik. Dan saya ingatkan jangan korupsi uang rakyat ya pak. Karena bahwasannya Allah SWT maha melihat pak. Dan satu biji sawi pun akan dihitung di akhirat kelak pak.,positif
Selamat pak perabowo.kami sekluwarga.dari dlu sampai sekarang masi setia ke pada bapak.saya sangat senang bapak terpili.muda2han kami rakyat kecil bisa terbantu.trutama pedagang kecil pak,0,"Selamat pak Prabowo. Kami sekeluarga dari dulu sampai sekarang masih setia kepada Bapak. Saya sangat senang Bapak terpilih. Semoga kami rakyat kecil bisa terbantu, terutama pedagang kecil pak.",positif
Mantab,1,Mantap,positif
Merdeka,0,Merdeka,netral
Merdeka,0,Merdeka,netral
Merdeka,0,Merdeka,netral
Merdeka,0,Merdeka,netral
"Tetap terbaik Anies Muhaimin Bravo AMIN
Kita lihat nanti putusan MK",0,"Tetap terbaik Anies Muhaimin Bravo AMIN
Kita lihat nanti putusan MK",negatif
Semoga Allah mudahkan jalankan amanat rakyat dan bangsa Indonesia tercinta. Di tanganmu jendral Prabowo Subianto,0,Semoga Allah mudahkan jalankan amanat rakyat dan bangsa Indonesia tercinta. Di tanganmu Jendral Prabowo Subianto.,positif
Semoga or yg d bilang hebat ini mampu mmbendung bencana banjir gempa dan sunami yg akan mnimpa indonesia.aamin.,0,"Semoga orang yang dianggap hebat ini mampu mencegah bencana banjir, gempa, dan tsunami yang akan menimpa Indonesia. Amin.",positif
Selamat pak Prabowo,0,Selamat pak Prabowo,positif
Selamat idonesia mendapat pemimpin yang barusemoga rakyat semakin diberi kemudahan dlm segala hal,0,Selamat Indonesia mendapat pemimpin yang baru semoga rakyat semakin diberi kemudahan dalam segala hal,positif
Saya cmn fokus sama pak Prabowo Subianto yg sangat menghargai dan tak lupa sama ketum2 yg mendukung serta tokoh2 hebat yg mendukung jg hingga mantap goll menang 02 tak lupa relawan2️️mksh pak anda hebat,0,"Saya hanya fokus pada Pak Prabowo Subianto yang sangat menghargai dan tidak lupa kepada ketua-ketua yang mendukung serta tokoh-tokoh hebat yang mendukung juga hingga mantap gol menang 02 tidak lupa relawan, terima kasih Pak Anda hebat.",positif
alhamdulillah,0,alhamdulillah,positif
Alhamdulillah pak Prabowo menang pak Prabowo presidenku,0,"Alhamdulillah Pak Prabowo menang, Pak Prabowo presidenku",positif
"SELAMAT untuk BAPAK PRABOWO SUBIANTO & MAS GIBRAN, sehat selalu dalam menjalankan tugas2 di pemerintahan yang akan datang.
INDONESIA MAJU",0,"Selamat untuk Bapak Prabowo Subianto & Mas Gibran, semoga sehat selalu dalam menjalankan tugas-tugas di pemerintahan yang akan datang. Indonesia Maju.",positif
Alhamdulillah semoga amanah slm lombok pak,0,Alhamdulillah semoga amanah selamat Lombok pak,positif
betul pak mandat kami sebagai mesarakat Indonesia kami mandat ke bapak berbowo terus kn pak,0,"Betul pak, kami sebagai masyarakat Indonesia memberikan mandat kepada Bapak Prabowo teruskan pak.",positif
Amin YRA,0,Amin YRA,positif
Selamat dan Sukses pak Prabowo dan mas Gibran,0,Selamat dan Sukses pak Prabowo dan mas Gibran,positif
"Alhamdulillah... akhirnya perjuangan dan penantian selama bertahun-tahun terwujud. Kita memang hrs yakin bahwa Allah mengabulkan apa yg kita minta jika itu memang baik untuk kita menurutNya. Semoga BPK dan mas Gibran amanah, jujur dan benar2 melakukan yg terbaik untuk rakyat Indonesia.",1,"Alhamdulillah, akhirnya perjuangan dan penantian selama bertahun-tahun terwujud. Kita memang harus yakin bahwa Allah mengabulkan apa yang kita minta jika itu memang baik untuk kita menurut-Nya. Semoga BPK dan Mas Gibran amanah, jujur, dan benar-benar melakukan yang terbaik untuk rakyat Indonesia.",positif
"Semoga pak Prabowo bisa tegas seperti pak Soeharto, karena negara ini terlalu melenceng",0,"Semoga pak Prabowo bisa tegas seperti pak Soeharto, karena negara ini terlalu melenceng",negatif
Alhamdulillah,0,Alhamdulillah,positif
"Alhamdulillah pak Prabowo menjadi pemimpin Indonesia maju, semoga saja Palembang menuju Lampung jalan menjadi baik tidak ada jalan jelek amin",0,"Alhamdulillah pak Prabowo menjadi pemimpin Indonesia maju, semoga saja Palembang menuju Lampung jalan menjadi baik tidak ada jalan jelek amin",positif
kenapa kameramen 1 itu dari balik layar/belakang?,0,kenapa kameramen nomor urut 1 itu dari belakang?,negatif
Selamat pak Prabowo,0,Selamat pak Prabowo,positif
Josss,0,Josss,netral
"Komando sekarang sudah ada di bpak, tugas saya sudah beres jendral, tiga kali saya nyoblos bapak ini",0,"Komando sekarang sudah ada di bapak, tugas saya sudah selesai, tiga kali saya nyoblos beliau ini",positif
️️️️ mandat nya jos perabowo presidenku,0,Mandatnya jos Prabowo presidenku,positif
alkamdulillah pak semoga bpk diberi kesehatan dimudahkan segala urusan dan tugas sertabisa membawa semua rakyat indonesiadg adil bijaksana tentram rukun damai dan menjafi pemimpin yang amanah serta selalu bersabar diri walaupun diterpa goncangan yang begitu hebat tapi bpk menjalani semua itu dg hati sabar ingat ya pak selalu sabar hati bijak dlm menghadapi permasalahan negara maupun dunia selamat ya pak semoga bpk drsehatkan dan dibuang penyakit penyakit yang ada pada bpk.selamat bertugas pak dan titip pesan mohon selalu diperhatikan kesejahteraan para pensiun amin,0,"Alhamdulillah Pak, semoga Bapak diberi kesehatan, dimudahkan segala urusan dan tugas, serta bisa membawa semua rakyat Indonesia dengan adil, bijaksana, tentram, rukun, damai, dan menjadi pemimpin yang amanah serta selalu bersabar. Walaupun diterpa goncangan yang begitu hebat, tapi Bapak menjalani semua itu dengan",positif
Saya tidak berdiri bersama anda apalagi mendukung anda.otak saya masih waras.dan masih memikirkan azab aherat,0,Saya tidak berdiri bersama anda apalagi mendukung anda. Otak saya masih waras dan masih memikirkan azab akhirat.,negatif
mantap pak prabowo,0,mantap pak prabowo,positif
"Jgn hanya ngomong buktikan... Indonesia selama ini dipimpin oleh orang Jawa sebagai mayoritas.. tapi bnyk kemiskinan,,,klo ini ngk jauh beda... pilpres tahun yg akan datang suku lain perlu bermusyawarah... negeri ini kacau sejak kesultanan bersatu dengan NKRI.. korupsi kolusi nepotisme belum berhasil.",0,"Jangan hanya bicara buktikan... Indonesia selama ini dipimpin oleh orang Jawa sebagai mayoritas.. tapi banyak kemiskinan,,,kalau ini tidak jauh beda... pilpres tahun yang akan datang suku lain perlu bermusyawarah... negeri ini kacau sejak kesultanan bersatu dengan NKRI.. korupsi kolusi nepotisme belum berhasil.",negatif
Mandat bansos nya perabowo,0,Mandat bansosnya Prabowo,negatif
Akhirnya ya pak setelah sekian lama..jalurnya emng harus curang biar menang,0,Akhirnya ya pak setelah sekian lama..jalurnya memang harus curang biar menang,negatif
Baru kali ni semua nama disebut...semoga sehat sll pak Prabowo subianto Aminnnnn,0,"Baru kali ini semua nama disebut, semoga sehat selalu Pak Prabowo Subianto. Amin.",positif
pilihanku,0,pilihanku,netral
"semoga pa Prabowo sehat sampai 2029, agar wakilnya TDK JD penguasa",1,"Semoga Pak Prabowo sehat sampai 2029, agar wakilnya tidak menjadi penguasa.",negatif
semoga amanah pak,0,Semoga amanah pak,positif
Cuma rakyat yg jadi pendukungmu saja klu kani tdk sbb hasil pemilu yg di umumkn tdk bersh dan jujur blm aelesai memilih dan di hitung sd di kSh tau menang dan lebih gilanya lgi unggul di 36.propensi smntra di saat kampanye sepi tdk heran lagi mulai dari KPU dan yg lainnya sd kalina sogok klu berani dan yakin dg menang yg sesungguhnya berani di buka hsl pemilu dan berani di sumpah dg Alquran dan sumph yg lainnya,0,Cuma rakyat yang jadi pendukungmu saja kalau nanti tidak sesuai hasil pemilu yang diumumkan tidak bersih dan jujur belum selesai memilih dan dihitung sampai diketahui menang dan lebih gilanya lagi unggul di 36 propinsi Sumatera di saat kampanye sepi tidak heran lagi mulai dari KPU dan yang lainnya sudah terbiasa disogok kalau ber,negatif
Mari kita sujud sukur yang mendukung perabowo giberan telah resmi menang Menjadi persiden ri semoga sehat selalu panjang umur amin yarobal alamin,0,"Mari kita sujud sukur yang mendukung Prabowo-Sandi telah resmi menang menjadi Presiden RI. Semoga sehat selalu, panjang umur. Amin yarobal alamin.",positif
"ingat pak prabowo , ambil kabinet dari putra puri bangsa terbaik , jangan hanya kaum elite , buat system elektronik pemimpin tanpa pencitraan , yg makmur tanpa gaduh kyak negara maju",0,"Ingat Pak Prabowo, ambil kabinet dari putra-putri bangsa terbaik, jangan hanya kaum elite, buat sistem elektronik pemimpin tanpa pencitraan, yang makmur tanpa gaduh seperti negara maju.",positif
"kami liat taringmu utk menyikat semua koruptor meski dalam koalisi ,,",0,Kami lihat taringmu untuk menyikat semua koruptor meski dalam koalisi.,negatif
Jangan sampai ajak anies sama janggar ke koalisi indonesia maju pak...rakyat pasti tdk akan rela...,0,"Jangan sampai ajak Anies sama Janggar ke koalisi Indonesia Maju, Pak. Rakyat pasti tidak akan rela.",negatif
Merasa merdeka kembali,0,Merasa merdeka kembali,positif
Semuahnya ketentuan ALLOH. Kan,0,Semuanya ketentuan Allah. Amin.,positif
"hidup prabowo,giban.semoga membawa kebaikan bagi bangsa indinesia.dan tida lupa dengan janji memberi ke adilan dan kemakmuran bagi rakyat.dari rakyat untuk rakyat.semogs bpk diberikan kesehatan lahir batin. amin",0,"Hidup Prabowo, Gibran. Semoga membawa kebaikan bagi bangsa Indonesia. Dan tidak lupa dengan janji memberi keadilan dan kemakmuran bagi rakyat. Dari rakyat untuk rakyat. Semoga Bapak diberikan kesehatan lahir batin. Amin.",positif
Anies nangis di pojokan,0,Anies menangis di pojokan,negatif
Jagoku akhirnya duduk juga sebagai RI 1.. selamat pak Prabowo....,0,"Jagoku akhirnya duduk juga sebagai RI 1, selamat pak Prabowo.",positif
"Kami butuh bukti 
Bukan omon omon 
Liat aja yg akan terjadi kami nyimak",0,"Kami butuh bukti. Bukan omong-omong. Lihat saja yang akan terjadi, kami akan menyimak.",netral
smga cita cita bangsa Indonesia dpt tercapai...Aamiin Yra ..,0,Semoga cita-cita bangsa Indonesia dapat tercapai. Aamiin.,positif
"Selamat datang orde baru jilid 2, memang penting untuk mengedukasi perjalanan sejarah politik dari orde lama, orde baru dan orde reformasi, agar generasi muda paham arus ideologi yang tertanam setiap orde",0,"Selamat datang orde baru jilid 2, memang penting untuk mengedukasi perjalanan sejarah politik dari orde lama, orde baru dan orde reformasi, agar generasi muda paham arus ideologi yang tertanam setiap orde",netral
atas keadilan nya kenapa tak di sebut pak,0,"Atas keadilan, mengapa tidak disebutkan Pak?",netral
"Alhmdulillah Ya robil alamin .... selamat bpk Prabowo semoga pemimpin yg amanah , rakyat Indonesia mKmur n sejatera  Indonesia emas, semoga 
Bpk yg sehat sehat  selalu terap dlm Lindungan Allah SWT 
Aamin Aamin aami Yaa Allah",1,"Alhamdulillah Ya Robb alamin, selamat Bapak Prabowo semoga pemimpin yang amanah, rakyat Indonesia makmur dan sejahtera, Indonesia emas, semoga Bapak yang sehat selalu terap dalam Lindungan Allah SWT. Amin Ya Allah.",positif
Alhamdulillah,0,Alhamdulillah,positif
Masyaallah subhnaallah almhamdulillah mantep perjuangan qta menang qta sukses okede,0,Masyaallah subhnaallah almhamdulillah mantep perjuangan kita menang kita sukses oke banget,positif
Luar biasa,0,Luar biasa,positif
Masa Allah Allahhsmdulilah,0,Masa Allah Alhamdulillah,positif
Alhamdulillah... Titip Nasib Abang-abang Ojek_online (Ojol ) ya Pak utk Kesejahteraan  dn hak-hak mereka jg di perhatikan. Rahayu,0,Alhamdulillah... Titip Nasib Abang-abang Ojek online (Ojol) ya Pak untuk Kesejahteraan dan hak-hak mereka juga dipertimbangkan. Rahayu,positif
"Halo ahmad sahroni di panggil kpk, nanti nyusul anis dan ganjar",0,"Halo Ahmad Sahroni dipanggil KPK, nanti menyusul Anis dan Ganjar",negatif
"Di diri mas bowo,1, tiada dendam,dua terus berjuang, riga tetap mnfhargai ,4 legowo,5 ,tegas,6,rendah diri,dan yg paling pokok ikhlas.",0,"Di diri Mas Prabowo, pasangan calon nomor urut 1, tidak ada dendam, terus berjuang, Pasangan calon nomor urut 3 tetap menghargai, legowo, tegas, rendah hati, dan yang paling penting ikhlas.",negatif
awas pak janji makan siang geratis sama susu geratis nya pura2 lupa,0,"Awas pak, janji makan siang gratis sama susu gratisnya pura-pura lupa.",negatif
Tolong perhatikan rakyat bos,0,Tolong perhatikan rakyat bos,netral
Awas korupsi moal di kawinkeun,0,Awas korupsi tidak di kawinkeun,negatif
Mantap pa wowo ini,0,Mantap pak Prabowo ini,positif
Mudah2 an pro rakyat,0,Semoga pasangan calon nomor urut 1 pro rakyat,negatif
"Aamiin ya alloh ya robbal, 'alamiin",0,Aamiin ya Allah ya Robbal 'Alamin.,positif
Alhmdllah se orang pmimpin yg rendah hati tegas dan br wibawasukses trus pa prabowo alloh mmbrkati mo..,1,"Alhamdulillah, seorang pemimpin yang rendah hati, tegas, dan berwibawa. Semoga sukses terus, Pak Prabowo. Allah memberkati.",positif
BAPAK di belakang bapak Prabowo Subianto yg memakai baju biru menahan tangis.... Tangisan terharu atas kemenangan bapak Prabowo Subianto,0,Bapak di belakang Prabowo Subianto yang memakai baju biru menahan tangis.... Tangisan terharu atas kemenangan Prabowo Subianto,positif
"Senangnya hatiku hilang panas demamku....prabowo oh prabowo 
Selamat ya pak semoga amanah buat rakyat aamiin....salam damai salam 2 jari....",0,"Senangnya hatiku hilang panas demamku.... Prabowo oh Prabowo
Selamat ya pak, semoga amanah buat rakyat. Aamiin.... Salam damai salam 2 jari....",positif
kau itu siapa  mentang menang penuh ke curangan  bilang madat rakyat orang baper,0,"Kau itu siapa, mentang-mentang penuh kecurangan, bilang masyarakat orang baper.",negatif
Jadi apa indonesia di pimpin sama orang yg  pintar sperti ini,0,Jadi apa Indonesia dipimpin oleh orang yang pintar seperti ini,netral
Nampak kelihatan bodohnya  huhuhuuuu pidato kaya anak kecil,0,Nampak kelihatan bodohnya pidato kaya anak kecil,negatif
Maju trus kami mili bapa n Gibran bukan karena curang tpi dgn hati nurani sendiro jgn percaya pendemo bayaran itu,0,Maju terus kami milih Bapak dan Gibran bukan karena curang tapi dengan hati nurani sendiri jangan percaya pendemo bayaran itu.,negatif
Sombongnya komplotan koruptor dan pelanggar HAM ini. Negara di jadikan mainan oleh komplotan kecurangan pemilu ini,0,Sombongnya komplotan koruptor dan pelanggar HAM ini. Negara dijadikan mainan oleh komplotan kecurangan pemilu ini.,negatif
Hitungannya  cepat curang gak lewat hp pakai digital,0,Hitungannya cepat curang tidak lewat hp pakai digital,negatif
Ngapusi rakyat kecil chenes dan kolongmetat dipelihara,0,Ngapusi rakyat kecil chenes dan kolongmetat dipelihara,negatif
Lombonin rakyat,0,Lombonin rakyat,negatif
Bpk dari semua bpk RI 1,0,Bapak dari semua bapak RI 01,negatif
