author,comment,published_at,like_count,final_text
@penghunilangit9909,"KAMI SEMAKIN CINTA PBOWO GIBRAN, PBOWO TELAH SADAR BHW NEGARA TIDAK BOLEH JADI TUMBAL KEMISKINAN OLEH BANGSA EROPA DAN AS LAGI. TERHARU DAN BAHAGIA PBOWO SANGAT BERANI MELAWAN KEJAHATAN BANGSA EROPA DAN AS. KAMI BANGGA MAKAN SIANG UTK GIZI BAGI BAYI DAN ANAK2 SEKOLAH DAN HILIRISASI BAKAL MEMAKMURKAN BAGI SELURUH WARGA INDONESIA2034 INDONESIA EMAS YAKIN TERWUJUDHARAPAN KAMI PBOWO MAMPU HANCURKAN PENJAHAT2 KORUPTOR, TOKOH NARKOBA, DAN MAFIA TANAHMAKANAN BERGIZI BAGI BAYI2 MISKIN PENDERITAAN PANJANG...",2024-03-24T04:53:55Z,0,"Kami semakin cinta Prabowo Gibran, Prabowo telah sadar bahwa negara tidak boleh jadi tumbal kemiskinan oleh bangsa Eropa dan AS lagi. Terharu dan bahagia Prabowo sangat berani melawan kejahatan bangsa Eropa dan AS. Kami bangga makan siang untuk gizi bagi bayi dan anak-anak sekolah dan hilirisasi bakal memakmurkan bagi seluruh w"
@CRAZY-dw4xv,"nama beliau tercantum untuk memimpin negara kesatuan republik indonesia,semoga untuk yang akan datang,bapak Kunto yang akan datang untuk memimpin negara kesatuan republik indonesia.",2024-03-24T04:08:25Z,0,"Nama beliau tercantum untuk memimpin negara Kesatuan Republik Indonesia, semoga untuk yang akan datang, Bapak Kunto yang akan datang untuk memimpin negara Kesatuan Republik Indonesia."
@linggalingga1880,"Menang suara bukan berarti ditetapkan jadi pemenang..
Masih ada gugatan dan bisa jdi diskualifikasi",2024-03-24T03:33:39Z,0,Menang suara bukan berarti ditetapkan jadi pemenang. Masih ada gugatan dan bisa jadi diskualifikasi.
@rusdidin-z6s,Alhamdulillah selamat. Untuk pa prabowo  Gibran dan. Kualisi. Indonesia. Maju sukses dan sehat selalu,2024-03-24T02:59:04Z,0,"Alhamdulillah selamat. Untuk Pak Prabowo, Gibran, dan Koalisi Indonesia. Semoga maju, sukses, dan sehat selalu."
@umifauzah8626,Smoga PK Prabowo dan mas Gibran slalu mendapatkan perlindungan n Ridho Alloh SWT aamiin,2024-03-24T01:39:44Z,0,"Semoga PK Prabowo dan Mas Gibran selalu mendapatkan perlindungan dan ridho Allah SWT, amin."
@nurlaylaahmad159,Mashaalloh,2024-03-24T00:58:53Z,0,Masha Allah
@Zubaedah-q1z,"Pak prabowo kenapa tidak menyalami tangan pak fahri hamza? pak fahri terlihat sedih,menunduk dan menutup tangannya. Mohon di maafkan  ya pak fahri. Pak prabowo mungkin lelah dan tidak  melihat sekilas dan terburu buru dan banyak orang juga. Saya. Percaya di hatinya pak prabowo ada nama pak fahri",2024-03-24T00:27:20Z,1,"Pak Prabowo kenapa tidak menyalami tangan Pak Fahri Hamza? Pak Fahri terlihat sedih, menunduk, dan menutup tangannya. Mohon dimaafkan ya Pak Fahri. Pak Prabowo mungkin lelah dan tidak melihat sekilas, terburu-buru, dan banyak orang juga. Saya percaya di hatinya Pak Prabowo ada nama Pak Fahri."
@GedeBangde,"Sehat selalu mas kaesang,,,masyaallah",2024-03-23T23:45:12Z,0,"Sehat selalu Mas Kaesang, masya Allah"
@heriperda1398,"Selamat kepada pak prabowo.
Dulu bpk pernah bilang uang negara kita byk bocor dan lari ke luar 

Dengan bpk terpilih insaallah jadi preiden
Rakyat menunggu
Janji2 mu",2024-03-23T23:14:40Z,0,"Selamat kepada pak Prabowo. Dulu beliau pernah mengatakan uang negara kita banyak bocor dan lari ke luar. Dengan beliau terpilih, semoga menjadi presiden. Rakyat menunggu janji-janji beliau."
@endikurniawan1636,Dari sini kita blajar banyak dari gibran,2024-03-23T23:12:19Z,0,Dari sini kita belajar banyak dari Gibran
@arifrahayuni,Prabowo Subianto RI 1  Ke-8,2024-03-23T22:34:08Z,1,Prabowo Subianto RI 01 Ke-8
@romanroman9944,"Harusnya Pak Anies yg menang, klu tak dicurangi..",2024-03-23T20:47:23Z,0,"Harusnya Pak Anies yang menang, kalau tidak dicurangi."
@romanroman9944,Hoax,2024-03-23T20:45:54Z,0,Hoax
@alghibran6352,Alhamdulillahi Robbil Alaminnnn,2024-03-23T20:18:07Z,0,Alhamdulillah Robbil Alamin
@Pisces18-go7yg,"ngimpiiiii... 
mandat rakyat siapa, yg mau kasih mandaaaat..... ???
debat aja ga berkualitas ko ngomong mandat dari rakyat....
ingaaaaaaat....... pelanggar hukum.... nepotisme......apa di sebut mandat d\ri rakyat...!!!",2024-03-23T18:35:44Z,0,"ngimpi
mandat rakyat siapa, yang mau memberikan mandat?
debat saja tidak berkualitas kalau membicarakan mandat dari rakyat.
ingat pelanggar hukum, nepotisme, apakah itu disebut mandat dari rakyat?"
@robysatriapratama311,Selamat ya pak. Menjadi pemimpin di negeri ya besar ini pak. Saya harap bapak dapat membawa Indonesia ke arah yang lebih baik. Dan saya ingatkan jangan korupsi uang rakyat ya pak. Karena bahwasannya ALLAH SWT maha melihat pak. Dan 1 biji sawi pun akan di perhitungkan di akhirat kelak pak.,2024-03-23T18:10:33Z,0,Selamat ya pak. Menjadi pemimpin di negeri yang besar ini pak. Saya harap Bapak dapat membawa Indonesia ke arah yang lebih baik. Dan saya ingatkan jangan korupsi uang rakyat ya pak. Karena bahwasannya Allah SWT maha melihat pak. Dan satu biji sawi pun akan dihitung di akhirat kelak pak.
@adesuryani6662,Selamat pak perabowo.kami sekluwarga.dari dlu sampai sekarang masi setia ke pada bapak.saya sangat senang bapak terpili.muda2han kami rakyat kecil bisa terbantu.trutama pedagang kecil pak,2024-03-23T17:55:15Z,0,"Selamat pak Prabowo. Kami sekeluarga dari dulu sampai sekarang masih setia kepada Bapak. Saya sangat senang Bapak terpilih. Semoga kami rakyat kecil bisa terbantu, terutama pedagang kecil pak."
@saifurridho7884,Mantab,2024-03-23T17:48:23Z,1,Mantap
@AcepM123,Merdeka,2024-03-23T17:10:21Z,0,Merdeka
@AcepM123,Merdeka,2024-03-23T17:09:55Z,0,Merdeka
@AcepM123,Merdeka,2024-03-23T17:09:09Z,0,Merdeka
@AcepM123,Merdeka,2024-03-23T17:08:28Z,0,Merdeka
@andirukendi6878,"Tetap terbaik Anies Muhaimin Bravo AMIN
Kita lihat nanti putusan MK",2024-03-23T17:05:50Z,0,"Tetap terbaik Anies Muhaimin Bravo AMIN
Kita lihat nanti putusan MK"
@Darulmasrul,Semoga Allah mudahkan jalankan amanat rakyat dan bangsa Indonesia tercinta. Di tanganmu jendral Prabowo Subianto,2024-03-23T16:51:56Z,0,Semoga Allah mudahkan jalankan amanat rakyat dan bangsa Indonesia tercinta. Di tanganmu Jendral Prabowo Subianto.
@KotaBatamm-wk7du,Semoga or yg d bilang hebat ini mampu mmbendung bencana banjir gempa dan sunami yg akan mnimpa indonesia.aamin.,2024-03-23T16:49:26Z,0,"Semoga orang yang dianggap hebat ini mampu mencegah bencana banjir, gempa, dan tsunami yang akan menimpa Indonesia. Amin."
@AndiAsmardi-cg6fw,Selamat pak Prabowo,2024-03-23T16:33:47Z,0,Selamat pak Prabowo
@alion7872,Selamat idonesia mendapat pemimpin yang barusemoga rakyat semakin diberi kemudahan dlm segala hal,2024-03-23T16:10:26Z,0,Selamat Indonesia mendapat pemimpin yang baru semoga rakyat semakin diberi kemudahan dalam segala hal
@VitaTita-nj9tw,Saya cmn fokus sama pak Prabowo Subianto yg sangat menghargai dan tak lupa sama ketum2 yg mendukung serta tokoh2 hebat yg mendukung jg hingga mantap goll menang 02 tak lupa relawan2️️mksh pak anda hebat,2024-03-23T15:46:21Z,0,"Saya hanya fokus pada Pak Prabowo Subianto yang sangat menghargai dan tidak lupa kepada ketua-ketua yang mendukung serta tokoh-tokoh hebat yang mendukung juga hingga mantap gol menang 02 tidak lupa relawan, terima kasih Pak Anda hebat."
@dasmiyasmin1909,alhamdulillah,2024-03-23T15:16:41Z,0,alhamdulillah
@aimainultasta1709,Alhamdulillah pak Prabowo menang pak Prabowo presidenku,2024-03-23T14:15:16Z,0,"Alhamdulillah Pak Prabowo menang, Pak Prabowo presidenku"
@ooo_kane9618,"SELAMAT untuk BAPAK PRABOWO SUBIANTO & MAS GIBRAN, sehat selalu dalam menjalankan tugas2 di pemerintahan yang akan datang.
INDONESIA MAJU",2024-03-23T13:52:38Z,0,"Selamat untuk Bapak Prabowo Subianto & Mas Gibran, semoga sehat selalu dalam menjalankan tugas-tugas di pemerintahan yang akan datang. Indonesia Maju."
@bemper1945,Alhamdulillah semoga amanah slm lombok pak,2024-03-23T13:07:44Z,0,Alhamdulillah semoga amanah selamat Lombok pak
@daruissitegar162,betul pak mandat kami sebagai mesarakat Indonesia kami mandat ke bapak berbowo terus kn pak,2024-03-23T12:48:59Z,0,"Betul pak, kami sebagai masyarakat Indonesia memberikan mandat kepada Bapak Prabowo teruskan pak."
@boxxanimation2827,Amin YRA,2024-03-23T11:40:50Z,0,Amin YRA
@TinaWaworundeng,Selamat dan Sukses pak Prabowo dan mas Gibran,2024-03-23T11:25:39Z,0,Selamat dan Sukses pak Prabowo dan mas Gibran
@zakiyaaja7513,"Alhamdulillah... akhirnya perjuangan dan penantian selama bertahun-tahun terwujud. Kita memang hrs yakin bahwa Allah mengabulkan apa yg kita minta jika itu memang baik untuk kita menurutNya. Semoga BPK dan mas Gibran amanah, jujur dan benar2 melakukan yg terbaik untuk rakyat Indonesia.",2024-03-23T10:28:28Z,1,"Alhamdulillah, akhirnya perjuangan dan penantian selama bertahun-tahun terwujud. Kita memang harus yakin bahwa Allah mengabulkan apa yang kita minta jika itu memang baik untuk kita menurut-Nya. Semoga BPK dan Mas Gibran amanah, jujur, dan benar-benar melakukan yang terbaik untuk rakyat Indonesia."
@umardani7482,"Semoga pak Prabowo bisa tegas seperti pak Soeharto, karena negara ini terlalu melenceng",2024-03-23T09:58:39Z,0,"Semoga pak Prabowo bisa tegas seperti pak Soeharto, karena negara ini terlalu melenceng"
@beninagasta4592,Alhamdulillah,2024-03-23T09:22:13Z,0,Alhamdulillah
@faij624,"Alhamdulillah pak Prabowo menjadi pemimpin Indonesia maju, semoga saja Palembang menuju Lampung jalan menjadi baik tidak ada jalan jelek amin",2024-03-23T08:50:20Z,0,"Alhamdulillah pak Prabowo menjadi pemimpin Indonesia maju, semoga saja Palembang menuju Lampung jalan menjadi baik tidak ada jalan jelek amin"
@AmosMithun,kenapa kameramen 1 itu dari balik layar/belakang?,2024-03-23T07:46:54Z,0,kenapa kameramen nomor urut 1 itu dari belakang?
@satwaworld8031,Selamat pak Prabowo,2024-03-23T07:26:09Z,0,Selamat pak Prabowo
@tanggamuschannel,Josss,2024-03-23T07:17:39Z,0,Josss
@Artos77,"Komando sekarang sudah ada di bpak, tugas saya sudah beres jendral, tiga kali saya nyoblos bapak ini",2024-03-23T07:07:11Z,0,"Komando sekarang sudah ada di bapak, tugas saya sudah selesai, tiga kali saya nyoblos beliau ini"
@jeziana7938,️️️️ mandat nya jos perabowo presidenku,2024-03-23T06:48:07Z,0,Mandatnya jos Prabowo presidenku
@harnisuharni1322,alkamdulillah pak semoga bpk diberi kesehatan dimudahkan segala urusan dan tugas sertabisa membawa semua rakyat indonesiadg adil bijaksana tentram rukun damai dan menjafi pemimpin yang amanah serta selalu bersabar diri walaupun diterpa goncangan yang begitu hebat tapi bpk menjalani semua itu dg hati sabar ingat ya pak selalu sabar hati bijak dlm menghadapi permasalahan negara maupun dunia selamat ya pak semoga bpk drsehatkan dan dibuang penyakit penyakit yang ada pada bpk.selamat bertugas pak dan titip pesan mohon selalu diperhatikan kesejahteraan para pensiun amin,2024-03-23T06:39:11Z,0,"Alhamdulillah Pak, semoga Bapak diberi kesehatan, dimudahkan segala urusan dan tugas, serta bisa membawa semua rakyat Indonesia dengan adil, bijaksana, tentram, rukun, damai, dan menjadi pemimpin yang amanah serta selalu bersabar. Walaupun diterpa goncangan yang begitu hebat, tapi Bapak menjalani semua itu dengan"
@jhonjhoni443,Saya tidak berdiri bersama anda apalagi mendukung anda.otak saya masih waras.dan masih memikirkan azab aherat,2024-03-23T05:40:51Z,0,Saya tidak berdiri bersama anda apalagi mendukung anda. Otak saya masih waras dan masih memikirkan azab akhirat.
@boboho8354,mantap pak prabowo,2024-03-23T04:35:02Z,0,mantap pak prabowo
@Mnurman78,"Jgn hanya ngomong buktikan... Indonesia selama ini dipimpin oleh orang Jawa sebagai mayoritas.. tapi bnyk kemiskinan,,,klo ini ngk jauh beda... pilpres tahun yg akan datang suku lain perlu bermusyawarah... negeri ini kacau sejak kesultanan bersatu dengan NKRI.. korupsi kolusi nepotisme belum berhasil.",2024-03-23T04:28:02Z,0,"Jangan hanya bicara buktikan... Indonesia selama ini dipimpin oleh orang Jawa sebagai mayoritas.. tapi banyak kemiskinan,,,kalau ini tidak jauh beda... pilpres tahun yang akan datang suku lain perlu bermusyawarah... negeri ini kacau sejak kesultanan bersatu dengan NKRI.. korupsi kolusi nepotisme belum berhasil."
@ramankrisna6773,Mandat bansos nya perabowo,2024-03-23T03:15:57Z,0,Mandat bansosnya Prabowo
@zamharirullatief1570,Akhirnya ya pak setelah sekian lama..jalurnya emng harus curang biar menang,2024-03-23T02:37:40Z,0,Akhirnya ya pak setelah sekian lama..jalurnya memang harus curang biar menang
@jafarchannel6241,Baru kali ni semua nama disebut...semoga sehat sll pak Prabowo subianto Aminnnnn,2024-03-23T02:21:23Z,0,"Baru kali ini semua nama disebut, semoga sehat selalu Pak Prabowo Subianto. Amin."
@RaxiGodPlay,pilihanku,2024-03-23T02:00:26Z,0,pilihanku
@fawazabdurrafi2712,"semoga pa Prabowo sehat sampai 2029, agar wakilnya TDK JD penguasa",2024-03-23T01:38:54Z,1,"Semoga Pak Prabowo sehat sampai 2029, agar wakilnya tidak menjadi penguasa."
@samudralampubanjarnegara6485,semoga amanah pak,2024-03-23T01:32:40Z,0,Semoga amanah pak
@azizjunarsi813,Cuma rakyat yg jadi pendukungmu saja klu kani tdk sbb hasil pemilu yg di umumkn tdk bersh dan jujur blm aelesai memilih dan di hitung sd di kSh tau menang dan lebih gilanya lgi unggul di 36.propensi smntra di saat kampanye sepi tdk heran lagi mulai dari KPU dan yg lainnya sd kalina sogok klu berani dan yakin dg menang yg sesungguhnya berani di buka hsl pemilu dan berani di sumpah dg Alquran dan sumph yg lainnya,2024-03-23T01:31:28Z,0,Cuma rakyat yang jadi pendukungmu saja kalau nanti tidak sesuai hasil pemilu yang diumumkan tidak bersih dan jujur belum selesai memilih dan dihitung sampai diketahui menang dan lebih gilanya lagi unggul di 36 propinsi Sumatera di saat kampanye sepi tidak heran lagi mulai dari KPU dan yang lainnya sudah terbiasa disogok kalau ber
@sujatnosujatno,Mari kita sujud sukur yang mendukung perabowo giberan telah resmi menang Menjadi persiden ri semoga sehat selalu panjang umur amin yarobal alamin,2024-03-23T00:48:21Z,0,"Mari kita sujud sukur yang mendukung Prabowo-Sandi telah resmi menang menjadi Presiden RI. Semoga sehat selalu, panjang umur. Amin yarobal alamin."
@maedoputra7782,"ingat pak prabowo , ambil kabinet dari putra puri bangsa terbaik , jangan hanya kaum elite , buat system elektronik pemimpin tanpa pencitraan , yg makmur tanpa gaduh kyak negara maju",2024-03-22T23:20:05Z,0,"Ingat Pak Prabowo, ambil kabinet dari putra-putri bangsa terbaik, jangan hanya kaum elite, buat sistem elektronik pemimpin tanpa pencitraan, yang makmur tanpa gaduh seperti negara maju."
@SriWahyuni-r2s9l,"kami liat taringmu utk menyikat semua koruptor meski dalam koalisi ,,",2024-03-22T22:54:39Z,0,Kami lihat taringmu untuk menyikat semua koruptor meski dalam koalisi.
@IKSPIJAYA1980,Jangan sampai ajak anies sama janggar ke koalisi indonesia maju pak...rakyat pasti tdk akan rela...,2024-03-22T22:31:01Z,0,"Jangan sampai ajak Anies sama Janggar ke koalisi Indonesia Maju, Pak. Rakyat pasti tidak akan rela."
@deniirawan2934,Merasa merdeka kembali,2024-03-22T22:17:32Z,0,Merasa merdeka kembali
@tanlian501,Semuahnya ketentuan ALLOH. Kan,2024-03-22T22:07:52Z,0,Semuanya ketentuan Allah. Amin.
@nisasafiramaheswari4399,"hidup prabowo,giban.semoga membawa kebaikan bagi bangsa indinesia.dan tida lupa dengan janji memberi ke adilan dan kemakmuran bagi rakyat.dari rakyat untuk rakyat.semogs bpk diberikan kesehatan lahir batin. amin",2024-03-22T22:02:08Z,0,"Hidup Prabowo, Gibran. Semoga membawa kebaikan bagi bangsa Indonesia. Dan tidak lupa dengan janji memberi keadilan dan kemakmuran bagi rakyat. Dari rakyat untuk rakyat. Semoga Bapak diberikan kesehatan lahir batin. Amin."
@0.1Dls,Anies nangis di pojokan,2024-03-22T21:57:53Z,0,Anies menangis di pojokan
@hepiyarto7601,Jagoku akhirnya duduk juga sebagai RI 1.. selamat pak Prabowo....,2024-03-22T21:45:34Z,0,"Jagoku akhirnya duduk juga sebagai RI 1, selamat pak Prabowo."
